28	57	-75	95	95	-95	-26	-68	68	-7	20	46	78	10	25	71	62	-32	-8	96	-62	-90	95	-17	73	49	-84	29	-65	-39	19	-67	6	-32	31	-56	-5	93	30	-43	-57	17	99	71	43	7	8	73	88	-4	22	44	-17	20	-47	6	-75	-93	8	-29	49	-44	-56	29	27	69	7	6	71	20	82	12	33	-3	-71	73	34	-86	-13	70	77	-72	-96	7	68	39	-28	-30	89	100	63	-14	-76	-70	-16	-36	-30	95	-43	6
40	94	85	-69	-10	34	52	96	-81	-41	-19	81	75	-36	22	-97	-19	14	22	18	56	-26	-97	-11	-90	-52	-8	-78	-76	36	26	-80	60	48	-56	52	-39	15	-100	46	-34	-24	-82	-18	48	72	-21	54	53	-65	-73	-58	-87	-21	94	90	-42	-4	-62	28	56	78	73	-55	65	-5	-27	-21	35	94	-44	-24	-1	-41	-25	11	-47	-10	30	54	-44	-12	-90	-51	70	-88	49	-34	-88	-59	70	-35	56	-40	6	44	2	59	-51	75
18	-27	71	-72	26	-9	-12	99	25	89	-64	27	61	-23	-29	77	-93	-69	9	-70	-83	98	-14	-39	23	57	91	-85	-18	-44	43	42	24	-19	47	-28	65	25	-16	-57	-67	14	55	46	77	83	87	-11	68	74	80	-88	-60	51	-23	78	-61	-1	99	79	-73	-88	83	-19	1	15	-99	-15	28	67	-69	-62	-57	14	84	-80	12	37	9	15	-15	-84	73	-57	43	-51	43	-1	-38	33	56	93	84	-63	-94	-2	-11	99	-53	5
-34	83	-94	91	84	-27	36	58	-43	62	35	-53	71	41	-80	-69	-58	-76	100	-65	-96	50	94	-48	28	-25	-12	50	-23	-93	29	64	20	-41	28	51	-45	-74	43	14	-45	-91	-59	-62	-86	75	-97	-71	22	-13	23	14	67	98	88	-30	-36	38	-57	33	-6	6	-59	-15	-33	0	-40	-70	-11	-47	41	-40	-33	5	87	-78	-62	61	92	73	93	-37	-6	99	53	27	-43	-63	-81	-10	26	-2	-95	-57	44	82	15	-41	-17	-86
-39	-96	-75	-52	82	100	-42	7	15	86	23	78	-60	59	-4	54	57	-80	-27	12	35	83	21	-62	-86	68	58	-74	70	-89	-59	69	93	98	-15	-80	-66	-27	-54	41	14	93	-89	59	-91	-12	61	51	71	-10	66	-94	91	53	17	-33	68	-31	-78	30	-87	-81	36	70	-11	-22	33	-94	-65	-11	-82	-86	-32	-74	37	27	71	-57	78	-96	-39	83	91	-90	45	-83	-94	72	-54	-1	0	66	54	91	-73	-86	95	87	96	-44
16	24	64	92	56	65	32	45	-26	98	-31	-76	86	-96	62	-5	-19	44	-43	-54	-65	85	17	83	-82	-33	29	-81	79	-27	-49	7	76	-66	-87	-9	60	-29	50	-5	33	-34	13	68	24	-92	-35	64	-28	39	-58	-86	-24	25	35	9	93	1	-12	9	-52	56	53	-86	7	99	-53	-64	-49	96	79	17	-93	-93	-23	-27	-93	-56	75	97	83	-43	-74	-68	-81	17	-77	27	-47	-70	-65	-79	39	-88	-59	-64	-4	-71	81	48
-41	87	-60	76	-61	-7	-39	-86	-53	94	75	4	-40	25	-98	0	-55	27	49	-29	-22	37	-54	42	-45	18	97	82	-98	45	-63	-97	98	66	-37	29	-10	79	-75	60	2	-49	0	-40	57	-14	5	-56	-12	-7	-94	89	-60	46	91	85	5	-32	83	-79	-45	15	76	-83	-76	-34	-9	-33	79	-5	45	-89	-66	20	-6	-43	-28	-5	42	-73	-8	59	2	-54	62	8	-70	-23	-44	91	2	-23	-63	-74	5	-29	-62	-88	-23	99
73	59	86	-56	-12	-83	-7	12	-6	-44	-44	14	-33	27	82	64	-5	-32	-10	29	-25	-2	13	56	-58	-44	-83	25	-86	4	-61	-38	50	-59	51	-72	-73	-71	-83	19	70	49	96	-100	42	87	-71	34	39	68	23	33	19	56	-73	1	-69	-60	9	27	36	52	100	-66	63	-63	65	97	62	-19	70	-65	95	-22	-84	-33	76	73	52	7	90	98	21	98	-73	1	-16	4	12	-66	-87	-6	76	-59	16	-83	56	-7	-83	-41
31	-27	28	13	-84	70	85	-46	-15	-95	14	-85	9	-46	37	-25	-64	68	59	-99	43	24	-56	-71	59	-71	40	-86	78	33	-67	-50	-3	-26	56	53	-18	25	87	-82	-32	82	46	0	-48	6	-83	40	-60	-16	35	92	-72	-5	-38	8	-2	84	75	35	-71	-53	3	76	-86	-67	-25	-86	82	-72	67	-88	-38	9	-52	98	36	-94	-86	42	-7	-14	-73	34	15	51	8	37	-97	95	97	7	-11	59	6	-77	-91	73	-97	85
-69	-49	-68	-73	-55	58	27	-91	-9	-53	-76	-32	-94	17	54	-69	-65	43	-47	-21	-64	70	-3	63	11	94	97	44	-29	22	5	85	90	-15	57	88	44	2	-63	67	98	-53	-11	-42	37	60	-87	-69	4	-33	-90	-49	-50	-87	2	-71	-28	32	2	-23	69	74	100	-77	-6	-82	-96	60	58	-54	19	19	-25	76	9	96	66	-63	12	56	83	16	-60	-61	47	40	-13	-77	-10	69	-98	-72	-2	64	-55	-84	7	62	-93	78
