79	-66	21	-94	-60	68	92	63	-5	90	5	-43	64	59	59	47	-2	37	-41	52	30	-18	-51	94	13	-73	41	65	-55	-97	-57	16	77	40	45	17	-20	91	-46	-92	-27	-17	85	84	56	63	-5	51	2	-44	70	-88	-39	-94	29	-1	-10	-59	-92	17	96	-50	12	95	-56	47	-55	-45	-46	8	71	51	51	-36	-73	-72	59	-79	-93	67	-17	83	-56	28	94	-20	-83	-87	56	-96	-52	54	13	24	27	74	86	-24	11	79
-18	-48	-15	-67	63	42	-75	-59	0	30	55	-18	-80	0	78	80	9	-25	95	-23	-84	-30	-31	72	-24	-39	63	-15	-24	-9	60	-97	-72	75	67	47	75	-87	66	-13	-64	-8	97	-50	-47	-85	67	84	14	80	10	53	21	56	-1	7	4	-69	-27	-76	-4	-30	29	-46	-88	-56	-63	-78	71	51	97	95	-42	-96	-55	-71	-97	-73	49	-11	-2	16	21	-3	38	97	27	-64	-66	60	-54	-92	58	37	0	-70	58	-77	47	25
-65	62	-61	43	92	49	-27	-10	0	-57	-83	32	-26	-84	79	1	42	35	-92	31	-25	68	11	-91	-50	67	-44	-86	19	-64	-16	-13	-20	47	-93	-49	75	-23	-7	-65	82	-37	-57	7	-88	4	12	-57	1	-37	-83	-67	4	85	55	19	48	72	-27	-43	68	58	-51	-11	-5	32	-62	-97	38	58	-13	23	-96	-84	53	55	-35	-76	-54	52	45	-34	-56	11	24	-19	-45	-89	-24	-49	-65	-11	-26	45	36	71	33	-42	-61	-64
-65	-30	86	-52	4	-13	64	-52	69	-89	0	4	6	19	1	-31	60	95	-41	-3	36	-63	-37	16	11	-37	-7	16	32	-81	76	86	32	95	-15	-50	15	15	37	90	-56	89	-13	-36	48	10	74	10	51	-58	-41	-30	35	-10	-16	-30	-23	-33	14	-62	27	35	61	89	-10	62	87	-70	51	-63	-11	3	-57	-60	-59	74	-9	17	-29	17	36	82	-35	-9	59	58	-31	62	65	38	5	5	-55	77	-76	-85	-25	28	75	11
23	59	-17	22	-98	51	-35	76	24	-94	15	-32	-48	-52	-70	35	-25	70	-92	28	54	94	66	72	-34	14	-45	54	49	-42	-48	80	-74	-91	48	-33	60	22	77	-84	-56	52	-45	75	-9	94	45	15	-47	12	-55	28	-78	3	-23	-44	3	-50	55	-32	-73	-29	-19	29	-9	23	-5	83	76	79	92	35	62	24	-49	50	92	-82	65	28	-95	1	9	-29	-27	-99	-1	38	-55	-49	-53	32	-50	-88	95	65	79	89	19	58
87	5	63	-18	97	-9	-53	-77	46	78	-80	-30	-5	-17	40	5	-48	-10	-51	22	58	75	-65	15	-33	41	-51	67	99	-28	67	53	-66	81	-91	-17	-32	23	60	51	-28	92	-96	25	38	-82	-64	-84	61	-22	65	66	-69	55	35	-45	-23	-19	-78	-79	-69	-34	-77	-90	54	63	47	-70	65	-54	-53	11	-20	25	11	-16	-70	68	84	-22	-33	78	-98	93	5	-36	59	-24	-42	-42	15	-7	88	-35	12	14	23	54	76	39
58	-7	26	20	21	-53	80	17	9	-78	31	-86	53	-78	-38	-32	19	49	91	12	-58	-11	-97	-28	-77	-84	-68	-38	76	25	46	3	0	-68	-95	11	48	-43	93	48	-91	84	3	-20	-39	-46	-7	-23	24	-42	-23	62	75	-62	-93	75	-93	-42	-79	33	-51	-37	-34	-80	-53	-54	8	5	-75	51	-85	-40	-89	-56	61	23	15	66	-48	-57	-43	-77	-49	66	-54	24	61	-47	-75	-79	58	-20	26	-68	26	-74	86	58	10	18
37	-73	-44	47	-14	-73	-2	3	-98	46	-95	-42	-89	-83	-24	92	-13	-22	22	54	-19	-83	13	-12	-38	-100	92	49	-59	52	-15	-2	36	53	2	-79	10	-49	82	97	-35	-17	-77	71	-86	-2	13	-10	-28	14	15	-95	21	-4	-15	73	-85	-64	-57	-80	-62	-71	86	-96	-94	-95	56	61	-83	-60	-79	-31	63	-4	-8	-89	-40	-69	26	33	74	77	76	38	-27	-16	52	-47	63	-63	87	53	2	93	55	24	-19	-85	-76	-33
5	-2	-5	63	65	97	-28	-23	-26	-59	53	13	87	72	54	42	-85	97	-13	58	14	41	30	-60	-2	-71	95	34	-33	26	-39	50	-28	-12	-11	45	-35	71	-71	-94	50	31	-10	7	-17	-41	-80	-77	-43	-32	20	-40	-89	-58	61	70	-19	3	-5	-46	22	63	30	-33	66	-52	-40	-67	14	93	-35	-25	4	-51	35	17	68	-26	-94	-74	-60	-74	74	-3	-76	11	-32	68	-47	30	77	-9	10	10	70	59	-39	97	27	-68
-85	-51	-71	94	-58	89	-19	-80	-12	29	46	58	68	-85	31	45	50	-77	13	-79	66	33	26	70	25	41	49	-72	-33	86	61	-34	72	-28	20	-31	5	12	85	-56	42	94	-53	73	11	-43	-94	-12	21	-29	14	-42	10	-80	-77	-80	-45	85	-96	-77	-89	44	-26	-40	28	-56	60	93	90	-2	-68	29	83	-53	-64	74	-61	45	32	70	73	-72	-9	-63	30	-51	57	-23	-53	64	-57	34	95	70	16	58	-69	74	-47	-78
